album_id,album_name,album_release_date,album_release_date_precision,album_total_tracks,album_uri,artist_id,artist_name,year_of_album_release
0iU74EJRxkNbobROM1bKiP,Assim Tocam os MEUS TAMBORES,2020-09-27,day,12.0,spotify:album:0iU74EJRxkNbobROM1bKiP,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2020-01-01
1wNvClMbVbPmoUsoFaASCK,AMAR é para os FORTES,2018-09-14,day,10.0,spotify:album:1wNvClMbVbPmoUsoFaASCK,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2018-01-01
0x5glA32LbmAfFluNKsDYH,Nada Pode Me Parar (Ao Vivo),2015-12-16,day,14.0,spotify:album:0x5glA32LbmAfFluNKsDYH,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2015-01-01
0hPixFMI6iDjmqS0XkjTWq,Nada Pode Me Parar,2013-01-01,day,15.0,spotify:album:0hPixFMI6iDjmqS0XkjTWq,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2013-01-01
3I564AuHICCCnWEBHbvtoP,Marcelo D2 - Canta Bezerra Da Silva,2010-01-01,day,15.0,spotify:album:3I564AuHICCCnWEBHbvtoP,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2010-01-01
5ZfSz6IVs85lm5zRxlvAZi,A Arte Do Barulho,2008-01-01,day,11.0,spotify:album:5ZfSz6IVs85lm5zRxlvAZi,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2008-01-01
5MOZhKDPDaRVZJ1v1JXPkO,Looking for the Perfect Beat,2004-01-01,day,13.0,spotify:album:5MOZhKDPDaRVZJ1v1JXPkO,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2004-01-01
6N3dbZ1njWxuZSV3gQrVna,Babylon by Gus Vol. 1 - O Ano do Macaco (Ao Vivo),2020-06-30,day,12.0,spotify:album:6N3dbZ1njWxuZSV3gQrVna,6aCbXH85qN6xo54C7atSMx,Black Alien,2020-01-01
0d9km1VogLi6sN6S95ilyT,Abaixo de Zero: Hello Hell,2019-04-12,day,9.0,spotify:album:0d9km1VogLi6sN6S95ilyT,6aCbXH85qN6xo54C7atSMx,Black Alien,2019-01-01
0i04pel9i3sZ2iUK6X8W9N,"No Princípio Era o Verbo - Babylon by Gus, Vol. II",2015-10-22,day,12.0,spotify:album:0i04pel9i3sZ2iUK6X8W9N,6aCbXH85qN6xo54C7atSMx,Black Alien,2015-01-01
4b3sOdawJWHEY1EKKjIlpt,No Princípio Era o Verbo - Babylon By Gus (Vol. II),2015-10-22,day,12.0,spotify:album:4b3sOdawJWHEY1EKKjIlpt,6aCbXH85qN6xo54C7atSMx,Black Alien,2015-01-01
