artist_name,followers,artist_id,popularity,genre
Marcelo D2,1031152,1vEN3d3dJbmdHQpXD6AIkL,64,Rap
Black Alien,331227,6aCbXH85qN6xo54C7atSMx,65,Rap
Criolo,906871,37ZflmHTdxkSLQuT8w9NBs,63,Rap
Djonga,1084745,204IwDdaHE4ymGk9Kya2pY,75,Rap
Emicida,1665490,2d9LRvQJnAXRijqIJDDs2K,69,Rap
Froid,806429,45Yz90pqjzEdJzpEQg1eII,68,Rap
Gabriel O Pensador,1209142,5BWqFYIPTnFx3OPWOoJvmD,59,Rap
Karol Conká,494374,6ODCVWBfGNFUf1bpo0c2Ge,55,Rap
Pavilhão 9,14514,5QTksGpRsgrYaFe1Gnf2AH,29,Rap
Planet Hemp,567247,3nasa4yabzvUeb6DzejDYU,54,Rap
Barão Vermelho,948868,5zq0SGWxrmzpTSXkBEQzMj,62,Rock
Biquini Cavadão,782999,7E5dcvoiZra9wwBuXYAYTw,57,Rock
Capital Inicial,2179931,4Z0yuwHVJBROVZqFpTIr0d,65,Rock
Cazuza,1313337,1PwOU6fFbmaGkK3wkbb8fU,63,Rock
Charlie Brown Jr.,4750168,1on7ZQ2pvgeQF4vmIA09x5,75,Rock
Fresno,442458,2sFXe6NbmT3k7Qy4N8fE7f,56,Rock
Lobão,295951,3LWCuB9QxDmpLhhGwqU04N,50,Rock
Ratos De Porão,61152,3d2xlrGC9JGD7ycsf0e8mF,41,Rock
Titãs,1473649,2euX7vCVnJy3TVEGfc0RCl,65,Rock
Pitty,2056081,2dmQ0vMD3THLMcz7DsvfaT,64,Rock
Bruno & Marrone,3403669,5JXhkyafynxCvxtov7C1PV,81,Sertanejo
Jorge & Mateus,14242789,1elUiq4X7pxej6FRlrEzjM,83,Sertanejo
Gusttavo Lima,11809108,7MiDcPa6UiV3In7lIM71IN,84,Sertanejo
Luan Santana,5185564,3qvcCP2J0fWi0m0uQDUf6r,73,Sertanejo
Victor & Leo,1139026,2HtEBtekn0bXogyogD3PTr,64,Sertanejo
Zezé Di Camargo & Luciano,1855664,4dyYjqmYDjegbB3F2mbvcT,70,Sertanejo
Chitãozinho & Xororó,1227318,7gfkYbxpguEc9bm6m8TpAr,69,Sertanejo
Maiara & Maraisa,8867564,59jlthNnbmim5l9tmNA7se,77,Sertanejo
Maria Cecília & Rodolfo,1579766,1oOTUMbydEi6ogss5Klsom,47,Sertanejo
Simone & Simaria,4796112,0MInKJqZscEeNc5K3K0mkE,73,Sertanejo
Luiz Caldas,66781,4fLuPn1SvWJVFmooqIkvWh,42,Axe
Daniela Mercury,216671,2krrkKvM52JgvfGu2Uewbg,55,Axe
Márcia Freire,11171,1sa5nkvsWl9qYJQOHciFSy,23,Axe
Ivete Sangalo,1632661,7dzq55YG3wjViqexDwiycQ,69,Axe
Alinne Rosa,16432,6jrXjOgvZxar7qULTgJ9xd,29,Axe
Claudia Leitte,982855,2OjoIDVPQKT9B7loZbPEfp,64,Axe
Margareth Menezes,77880,1ehJzJeAbLiS4l0PIWd9MD,44,Axe
Asa De Águia,166603,528EuwdQfm7PgHajI0SxcJ,47,Axe
Chiclete Com Banana,272316,1bhqpMFFgoa0NTz82BprgL,56,Axe
Ara Ketu,190389,6NqIUh0cpaygBWUUAjBaog,53,Axe
Grupo Revelação,897634,7yQrcdkLdBAkV7yY9fF2Hw,68,Pagode
Sorriso Maroto,1809782,1fUSLFr4WUBx7joEcGwpvG,72,Pagode
Jeito Moleque,632849,3V7U1x0TRBn7spzHDQiZhi,56,Pagode
Zeca Pagodinho,1005958,3qZ2n5keOAat1SoF6bHwmb,67,Pagode
Dudu Nobre,246591,4Mw0vJsDXTZF7kn7EsdNoD,54,Pagode
Raça Negra,1243485,1RnHJ07H3jcpay9PrUPjnt,67,Pagode
Só Pra Contrariar,589761,2B8HcBRTizIsSPryM46Sb1,62,Pagode
Katinguelê,234435,3gdaj3L0OqxdaVoxnI7ZGu,49,Pagode
Os Morenos,99302,153Lu5Zmx36hPnRpaHV0zq,43,Pagode
Os Travessos,512463,3RpJ23sQA3B70ZgSnT2Vxr,53,Pagode
