top_track_id,top_track_duration_ms,top_track_explicit,top_track_is_playable,top_track_name,top_track_popularity,album_id,album_name,album_release_date,album_release_date_precision,album_total_tracks,artist_id,artist_name,year_of_tack_release,top_track_durantion_min_aprox
5GCz9BOkt17aI6ZOR3EiUl,175666,False,True,Desabafo / Deixa Eu Dizer,69,5ZfSz6IVs85lm5zRxlvAZi,A Arte Do Barulho,2008-01-01,day,11,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2008-01-01,2.93
2pT4QzEbhFamQoUJwbFVDV,246106,False,True,Samba Makossa / Citação Trecho Incidental: Monólogo Ao Pé Do Ouvido / Citação Trecho Incidental: Queimando Tudo - Ao Vivo,56,0AFkktyrrPtQvpIBqpRrc7,Acústico (Ao Vivo),2003-01-06,day,20,1on7ZQ2pvgeQF4vmIA09x5,Charlie Brown Jr.,2003-01-01,4.1
7pXhvLLPL6vqmU2sDEvNbZ,172053,False,True,Elas Gostam Assim,51,2ZkIlqqupIDBsfG1zzvToD,"Foco, Força E Fé",2014-01-01,day,16,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2014-01-01,2.87
6MsmBnJyNTNTD85wbXRf5X,225933,True,True,FEBRE DO RATO},50,1wNvClMbVbPmoUsoFaASCK,AMAR é para os FORTES,2018-09-14,day,10,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2018-01-01,3.77
1KsNJwx1ABD5IiQh4kfOoj,172466,False,True,Você Diz Que O Amor Não Dói,49,0hPixFMI6iDjmqS0XkjTWq,Nada Pode Me Parar,2013-01-01,day,15,1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,2013-01-01,2.87
6EHOyqVSyd8JRmQniT721T,211363,False,True,Que Nem o Meu Cachorro,60,0d9km1VogLi6sN6S95ilyT,Abaixo de Zero: Hello Hell,2019-04-12,day,9,6aCbXH85qN6xo54C7atSMx,Black Alien,2019-01-01,3.52
2fOzeW265HQxThDOrA66Mc,262500,False,True,Carta Pra Amy,59,0d9km1VogLi6sN6S95ilyT,Abaixo de Zero: Hello Hell,2019-04-12,day,9,6aCbXH85qN6xo54C7atSMx,Black Alien,2019-01-01,4.38
23fd5EB9vHXNxDQQxikpEF,170627,False,True,Chuck Berry,59,08ZkA9tW2y30l2WVJjxHpu,Chuck Berry,2020-12-09,day,1,6aCbXH85qN6xo54C7atSMx,Black Alien,2020-01-01,2.84
4qQm3DuFEVsqp2GWjkNFli,197840,False,True,Real Gold,58,5PRS6zL5id8VsFjesEsaw3,Real Gold,2019-02-22,day,1,6aCbXH85qN6xo54C7atSMx,Black Alien,2019-01-01,3.3
786H6CRL3H5WNPnkqTfnNX,164902,False,True,Aniversário de Sobriedade,57,0d9km1VogLi6sN6S95ilyT,Abaixo de Zero: Hello Hell,2019-04-12,day,9,6aCbXH85qN6xo54C7atSMx,Black Alien,2019-01-01,2.75
