id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_duration_ms,track_time_signature
5GCz9BOkt17aI6ZOR3EiUl,0.6,0.869,4,-5.565,0,0.315,0.0364,0,0.287,0.786,85.409,175667,4
2pT4QzEbhFamQoUJwbFVDV,0.552,0.976,10,-5.852,1,0.144,0.0389,0,0.874,0.572,106.311,246107,4
7pXhvLLPL6vqmU2sDEvNbZ,0.797,0.75,4,-6.307,0,0.265,0.03,0,0.682,0.493,100.015,172053,4
6MsmBnJyNTNTD85wbXRf5X,0.708,0.765,0,-7.17,1,0.0957,0.255,0,0.451,0.965,142.949,225933,4
1KsNJwx1ABD5IiQh4kfOoj,0.486,0.801,11,-7.485,1,0.373,0.0445,0,0.577,0.771,180.376,172467,4
6EHOyqVSyd8JRmQniT721T,0.726,0.649,2,-8.97,1,0.442,0.378,0,0.0673,0.171,176.043,211364,4
2fOzeW265HQxThDOrA66Mc,0.888,0.429,1,-9.096,1,0.358,0.382,0,0.11,0.526,127.976,262500,4
23fd5EB9vHXNxDQQxikpEF,0.886,0.63,1,-6.298,0,0.333,0.225,0,0.089,0.836,88.092,170627,4
4qQm3DuFEVsqp2GWjkNFli,0.772,0.509,6,-12.05,1,0.0401,0.525,0,0.119,0.903,95.006,197840,4
786H6CRL3H5WNPnkqTfnNX,0.865,0.507,11,-8.494,0,0.19,0.457,0,0.121,0.543,88.003,164902,4
33KkhOpxBmBr2Jor1gs11d,0.874,0.685,4,-5.819,0,0.236,0.478,0,0.105,0.505,93.996,153192,4
5JX81dHdlOVfTXim2itZKw,0.894,0.598,8,-6.725,0,0.0464,0.456,0,0.0629,0.804,96.114,210307,4
3L3uxLbJUDqr2bM7CGlZVJ,0.796,0.496,1,-9.257,1,0.224,0.364,0,0.114,0.572,87.98,207273,4
2IIWfrGNeZHvIoPeFXECRs,0.808,0.792,1,-3.39,1,0.268,0.294,0,0.124,0.348,138.041,199130,4
0svBeQBw3K2u4uFg5B4QAT,0.605,0.415,5,-9.503,0,0.0413,0.416,0,0.079,0.379,142.013,280613,4
3XOeVijHjhP33Avx55BEgK,0.731,0.528,4,-11.371,0,0.226,0.828,0,0.0897,0.258,101.9,302707,4
2FtVRCIZmGxORMNVyHKLbg,0.632,0.703,11,-7.288,0,0.336,0.049,0,0.402,0.727,80.964,231240,4
3JVJaqZ6qZajZaMi66za1b,0.785,0.599,2,-6.297,1,0.0657,0.682,0,0.108,0.961,81.984,220320,4
6RdXZcff3cDszW759ndZH3,0.468,0.246,5,-11.12,0,0.0361,0.941,0,0.123,0.306,117.084,347837,4
1yHEBmkI2j3lhlVLU8yuTl,0.705,0.816,10,-5.195,0,0.538,0.0969,0,0.0822,0.583,86.77,193800,4
4Sz4wqydJaWpFfR2QoaLCJ,0.806,0.85,5,-5.558,0,0.0693,0.269,0,0.194,0.897,94.991,242526,4
6l9UA6IlEGFl1RVAncqvwo,0.707,0.634,4,-8.022,0,0.442,0.269,0,0.143,0.417,140.829,228631,4
5p3LIyy38s0QQNoSTwbZXX,0.552,0.762,8,-6.367,1,0.361,0.0384,0,0.0239,0.512,172.086,320800,4
0gGjX0aUg7OaUSAhi1CmDk,0.747,0.677,1,-6.24,0,0.157,0.062,0,0.109,0.702,159.959,221627,4
1wTuMYmA3AJC7zKg6cuu19,0.513,0.654,8,-4.979,1,0.338,0.725,0,0.171,0.592,127.842,355867,4
